mul_use=0, done=0, start=0, startE=x, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=xxxxxxxx,flagM=x, alu_result=xxxxxxxx, alu_op=5b'xxxxx, alu_opE=xxxxx'b, data_wr=00000000
mul_use=0, done=0, start=0, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=x, alu_result=xxxxxxxx, alu_op=5b'xxxxx, alu_opE=xxxxx'b, data_wr=00000000
mul_use=0, done=0, start=0, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=x, alu_result=xxxxxxxx, alu_op=5b'xxxxx, alu_opE=xxxxx'b, data_wr=00000000
mul_use=0, done=0, start=0, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=x, alu_result=xxxxxxxx, alu_op=5b'xxxxx, alu_opE=xxxxx'b, data_wr=00000000
mul_use=0, done=0, start=0, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=x, alu_result=xxxxxxxx, alu_op=5b'xxxxx, alu_opE=xxxxx'b, data_wr=00000000
mul_use=0, done=0, start=0, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=x, alu_result=xxxxxxxx, alu_op=5b'xxxxx, alu_opE=xxxxx'b, data_wr=00000000
mul_use=0, done=0, start=0, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=x, alu_result=xxxxxxxx, alu_op=5b'xxxxx, alu_opE=xxxxx'b, data_wr=00000000
mul_use=0, done=0, start=0, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=x, alu_result=xxxxxxxx, alu_op=5b'xxxxx, alu_opE=xxxxx'b, data_wr=00000000
mul_use=0, done=0, start=0, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=x, alu_result=xxxxxxxx, alu_op=5b'xxxxx, alu_opE=xxxxx'b, data_wr=00000000
mul_use=0, done=0, start=0, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=x, alu_result=xxxxxxxx, alu_op=5b'xxxxx, alu_opE=xxxxx'b, data_wr=00000000
mul_use=0, done=0, start=0, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=x, alu_result=xxxxxxxx, alu_op=5b'xxxxx, alu_opE=xxxxx'b, data_wr=00000000
mul_use=0, done=0, start=0, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=xxxxxxxx, alu_op=5b'00000, alu_opE=xxxxx'b, data_wr=00000000
mul_use=0, done=0, start=0, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000000, alu_op=5b'00000, alu_opE=00000'b, data_wr=00000000
mul_use=0, done=0, start=0, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000000, alu_op=5b'00000, alu_opE=00000'b, data_wr=00000000
mul_use=0, done=0, start=0, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=ffffffce, alu_op=5b'00000, alu_opE=00000'b, data_wr=00000000
mul_use=0, done=0, start=0, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=0000003c, alu_op=5b'00000, alu_opE=00000'b, data_wr=00000000
mul_use=0, done=0, start=0, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=ffffff98, alu_op=5b'00000, alu_opE=00000'b, data_wr=00000000
